     #Energy           s          py          pz          px         dxy         dyz         dz2         dxz         dx2       tot  
     4.11381    -0.01494    -0.00450    -0.00363    -0.00961     0.00000     0.00000     0.00000     0.00000     0.00000    -0.03267
     4.11981    -0.01624    -0.00547    -0.00426    -0.01079     0.00000     0.00000     0.00000     0.00000     0.00000    -0.03675
     4.12581    -0.01807    -0.00650    -0.00499    -0.01167     0.00000     0.00000     0.00000     0.00000     0.00000    -0.04123
     4.13181    -0.02028    -0.00742    -0.00577    -0.01196     0.00000     0.00000     0.00000     0.00000     0.00000    -0.04543
     4.13781    -0.02253    -0.00812    -0.00645    -0.01164     0.00000     0.00000     0.00000     0.00000     0.00000    -0.04874
     4.14381    -0.02436    -0.00853    -0.00693    -0.01084     0.00000     0.00000     0.00000     0.00000     0.00000    -0.05066
     4.14981    -0.02538    -0.00869    -0.00711    -0.00981     0.00000     0.00000     0.00000     0.00000     0.00000    -0.05099
     4.15581    -0.02542    -0.00868    -0.00699    -0.00876     0.00000     0.00000     0.00000     0.00000     0.00000    -0.04985
     4.16181    -0.02461    -0.00862    -0.00664    -0.00784     0.00000     0.00000     0.00000     0.00000     0.00000    -0.04770
     4.16781    -0.02328    -0.00861    -0.00617    -0.00711     0.00000     0.00000     0.00000     0.00000     0.00000    -0.04517
     4.17381    -0.02179    -0.00871    -0.00569    -0.00664     0.00000     0.00000     0.00000     0.00000     0.00000    -0.04282
     4.17981    -0.02045    -0.00887    -0.00526    -0.00649     0.00000     0.00000     0.00000     0.00000     0.00000    -0.04108
     4.18581    -0.01950    -0.00907    -0.00491    -0.00681     0.00000     0.00000     0.00000     0.00000     0.00000    -0.04029
     4.19181    -0.01913    -0.00926    -0.00465    -0.00771     0.00000     0.00000     0.00000     0.00000     0.00000    -0.04075
     4.19781    -0.01947    -0.00948    -0.00449    -0.00924     0.00000     0.00000     0.00000     0.00000     0.00000    -0.04268
     4.20381    -0.02057    -0.00979    -0.00446    -0.01127     0.00000     0.00000     0.00000     0.00000     0.00000    -0.04609
     4.20981    -0.02231    -0.01026    -0.00454    -0.01354     0.00000     0.00000     0.00000     0.00000     0.00000    -0.05065
     4.21581    -0.02445    -0.01093    -0.00474    -0.01566     0.00000     0.00000     0.00000     0.00000     0.00000    -0.05578
     4.22181    -0.02674    -0.01179    -0.00507    -0.01732     0.00000     0.00000     0.00000     0.00000     0.00000    -0.06092
     4.22781    -0.02904    -0.01279    -0.00558    -0.01834     0.00000     0.00000     0.00000     0.00000     0.00000    -0.06575
     4.23381    -0.03133    -0.01390    -0.00628    -0.01875     0.00000     0.00000     0.00000     0.00000     0.00000    -0.07026
     4.23981    -0.03352    -0.01501    -0.00713    -0.01864     0.00000     0.00000     0.00000     0.00000     0.00000    -0.07430
     4.24581    -0.03538    -0.01600    -0.00798    -0.01807     0.00000     0.00000     0.00000     0.00000     0.00000    -0.07743
     4.25181    -0.03652    -0.01670    -0.00862    -0.01702     0.00000     0.00000     0.00000     0.00000     0.00000    -0.07886
     4.25781    -0.03661    -0.01700    -0.00884    -0.01548     0.00000     0.00000     0.00000     0.00000     0.00000    -0.07793
     4.26381    -0.03567    -0.01685    -0.00858    -0.01354     0.00000     0.00000     0.00000     0.00000     0.00000    -0.07464
     4.26981    -0.03414    -0.01628    -0.00792    -0.01148     0.00000     0.00000     0.00000     0.00000     0.00000    -0.06982
     4.27581    -0.03267    -0.01533    -0.00709    -0.00963     0.00000     0.00000     0.00000     0.00000     0.00000    -0.06471
     4.28181    -0.03181    -0.01406    -0.00630    -0.00829     0.00000     0.00000     0.00000     0.00000     0.00000    -0.06047
     4.28781    -0.03168    -0.01259    -0.00573    -0.00759     0.00000     0.00000     0.00000     0.00000     0.00000    -0.05760
     4.29381    -0.03194    -0.01110    -0.00541    -0.00746     0.00000     0.00000     0.00000     0.00000     0.00000    -0.05591
     4.29981    -0.03203    -0.00981    -0.00530    -0.00768     0.00000     0.00000     0.00000     0.00000     0.00000    -0.05482
     4.30581    -0.03147    -0.00891    -0.00530    -0.00804     0.00000     0.00000     0.00000     0.00000     0.00000    -0.05371
     4.31281    -0.03014    -0.00848    -0.00535    -0.00840     0.00000     0.00000     0.00000     0.00000     0.00000    -0.05236
     4.31881    -0.02834    -0.00850    -0.00544    -0.00877     0.00000     0.00000     0.00000     0.00000     0.00000    -0.05106
     4.32481    -0.02669    -0.00891    -0.00563    -0.00925     0.00000     0.00000     0.00000     0.00000     0.00000    -0.05048
     4.33081    -0.02580    -0.00961    -0.00595    -0.00993     0.00000     0.00000     0.00000     0.00000     0.00000    -0.05129
     4.33681    -0.02602    -0.01050    -0.00642    -0.01084     0.00000     0.00000     0.00000     0.00000     0.00000    -0.05378
     4.34281    -0.02731    -0.01143    -0.00699    -0.01186     0.00000     0.00000     0.00000     0.00000     0.00000    -0.05759
     4.34881    -0.02929    -0.01227    -0.00756    -0.01280     0.00000     0.00000     0.00000     0.00000     0.00000    -0.06192
     4.35481    -0.03133    -0.01290    -0.00800    -0.01349     0.00000     0.00000     0.00000     0.00000     0.00000    -0.06571
     4.36081    -0.03283    -0.01331    -0.00821    -0.01380     0.00000     0.00000     0.00000     0.00000     0.00000    -0.06815
     4.36681    -0.03335    -0.01362    -0.00816    -0.01372     0.00000     0.00000     0.00000     0.00000     0.00000    -0.06885
     4.37281    -0.03275    -0.01402    -0.00788    -0.01333     0.00000     0.00000     0.00000     0.00000     0.00000    -0.06799
     4.37881    -0.03129    -0.01467    -0.00749    -0.01276     0.00000     0.00000     0.00000     0.00000     0.00000    -0.06621
     4.38481    -0.02953    -0.01566    -0.00714    -0.01213     0.00000     0.00000     0.00000     0.00000     0.00000    -0.06446
     4.39081    -0.02820    -0.01691    -0.00699    -0.01156     0.00000     0.00000     0.00000     0.00000     0.00000    -0.06366
     4.39681    -0.02797    -0.01824    -0.00715    -0.01116     0.00000     0.00000     0.00000     0.00000     0.00000    -0.06452
     4.40281    -0.02919    -0.01942    -0.00764    -0.01103     0.00000     0.00000     0.00000     0.00000     0.00000    -0.06728
     4.40881    -0.03180    -0.02025    -0.00836    -0.01122     0.00000     0.00000     0.00000     0.00000     0.00000    -0.07163
     4.41481    -0.03539    -0.02059    -0.00912    -0.01165     0.00000     0.00000     0.00000     0.00000     0.00000    -0.07675
     4.42081    -0.03933    -0.02039    -0.00971    -0.01212     0.00000     0.00000     0.00000     0.00000     0.00000    -0.08155
     4.42681    -0.04296    -0.01969    -0.00999    -0.01238     0.00000     0.00000     0.00000     0.00000     0.00000    -0.08502
     4.43281    -0.04574    -0.01861    -0.00992    -0.01221     0.00000     0.00000     0.00000     0.00000     0.00000    -0.08649
     4.43881    -0.04736    -0.01730    -0.00960    -0.01158     0.00000     0.00000     0.00000     0.00000     0.00000    -0.08584
     4.44481    -0.04775    -0.01589    -0.00915    -0.01064     0.00000     0.00000     0.00000     0.00000     0.00000    -0.08343
     4.45081    -0.04707    -0.01453    -0.00868    -0.00965     0.00000     0.00000     0.00000     0.00000     0.00000    -0.07993
     4.45681    -0.04555    -0.01327    -0.00826    -0.00886     0.00000     0.00000     0.00000     0.00000     0.00000    -0.07595
     4.46281    -0.04337    -0.01211    -0.00789    -0.00843     0.00000     0.00000     0.00000     0.00000     0.00000    -0.07179
     4.46881    -0.04066    -0.01102    -0.00749    -0.00836     0.00000     0.00000     0.00000     0.00000     0.00000    -0.06753
     4.47481    -0.03757    -0.00996    -0.00703    -0.00861     0.00000     0.00000     0.00000     0.00000     0.00000    -0.06317
     4.48081    -0.03431    -0.00898    -0.00650    -0.00909     0.00000     0.00000     0.00000     0.00000     0.00000    -0.05888
     4.48681    -0.03122    -0.00822    -0.00593    -0.00975     0.00000     0.00000     0.00000     0.00000     0.00000    -0.05512
     4.49281    -0.02856    -0.00783    -0.00542    -0.01046     0.00000     0.00000     0.00000     0.00000     0.00000    -0.05227
     4.49881    -0.02655    -0.00790    -0.00502    -0.01113     0.00000     0.00000     0.00000     0.00000     0.00000    -0.05061
     4.50481    -0.02527    -0.00840    -0.00481    -0.01166     0.00000     0.00000     0.00000     0.00000     0.00000    -0.05014
     4.51081    -0.02476    -0.00917    -0.00481    -0.01206     0.00000     0.00000     0.00000     0.00000     0.00000    -0.05080
     4.51681    -0.02495    -0.01007    -0.00501    -0.01251     0.00000     0.00000     0.00000     0.00000     0.00000    -0.05254
     4.52281    -0.02568    -0.01094    -0.00537    -0.01319     0.00000     0.00000     0.00000     0.00000     0.00000    -0.05518
     4.52881    -0.02656    -0.01171    -0.00580    -0.01421     0.00000     0.00000     0.00000     0.00000     0.00000    -0.05828
     4.53481    -0.02709    -0.01229    -0.00618    -0.01542     0.00000     0.00000     0.00000     0.00000     0.00000    -0.06098
     4.54081    -0.02685    -0.01259    -0.00640    -0.01653     0.00000     0.00000     0.00000     0.00000     0.00000    -0.06237
     4.54681    -0.02573    -0.01251    -0.00641    -0.01721     0.00000     0.00000     0.00000     0.00000     0.00000    -0.06185
     4.55281    -0.02402    -0.01198    -0.00620    -0.01730     0.00000     0.00000     0.00000     0.00000     0.00000    -0.05950
     4.55881    -0.02230    -0.01107    -0.00589    -0.01692     0.00000     0.00000     0.00000     0.00000     0.00000    -0.05618
     4.56481    -0.02123    -0.00997    -0.00561    -0.01636     0.00000     0.00000     0.00000     0.00000     0.00000    -0.05317
     4.57081    -0.02130    -0.00899    -0.00547    -0.01589     0.00000     0.00000     0.00000     0.00000     0.00000    -0.05165
     4.57681    -0.02254    -0.00840    -0.00548    -0.01559     0.00000     0.00000     0.00000     0.00000     0.00000    -0.05201
     4.58281    -0.02451    -0.00831    -0.00558    -0.01528     0.00000     0.00000     0.00000     0.00000     0.00000    -0.05369
     4.58881    -0.02640    -0.00860    -0.00563    -0.01470     0.00000     0.00000     0.00000     0.00000     0.00000    -0.05533
     4.59481    -0.02742    -0.00896    -0.00548    -0.01372     0.00000     0.00000     0.00000     0.00000     0.00000    -0.05558
     4.60081    -0.02708    -0.00910    -0.00511    -0.01250     0.00000     0.00000     0.00000     0.00000     0.00000    -0.05379
     4.60681    -0.02549    -0.00887    -0.00459    -0.01141     0.00000     0.00000     0.00000     0.00000     0.00000    -0.05036
     4.61281    -0.02328    -0.00839    -0.00409    -0.01089     0.00000     0.00000     0.00000     0.00000     0.00000    -0.04665
     4.61881    -0.02126    -0.00796    -0.00376    -0.01113     0.00000     0.00000     0.00000     0.00000     0.00000    -0.04411
     4.62481    -0.02006    -0.00792    -0.00371    -0.01201     0.00000     0.00000     0.00000     0.00000     0.00000    -0.04370
     4.63081    -0.01993    -0.00845    -0.00395    -0.01312     0.00000     0.00000     0.00000     0.00000     0.00000    -0.04545
     4.63681    -0.02072    -0.00956    -0.00443    -0.01401     0.00000     0.00000     0.00000     0.00000     0.00000    -0.04872
     4.64281    -0.02210    -0.01109    -0.00504    -0.01445     0.00000     0.00000     0.00000     0.00000     0.00000    -0.05268
     4.64881    -0.02375    -0.01279    -0.00571    -0.01449     0.00000     0.00000     0.00000     0.00000     0.00000    -0.05674
     4.65481    -0.02551    -0.01447    -0.00643    -0.01443     0.00000     0.00000     0.00000     0.00000     0.00000    -0.06084
     4.66081    -0.02745    -0.01601    -0.00721    -0.01458     0.00000     0.00000     0.00000     0.00000     0.00000    -0.06525
     4.66681    -0.02973    -0.01744    -0.00808    -0.01507     0.00000     0.00000     0.00000     0.00000     0.00000    -0.07032
     4.67281    -0.03253    -0.01885    -0.00905    -0.01584     0.00000     0.00000     0.00000     0.00000     0.00000    -0.07627
     4.67881    -0.03590    -0.02030    -0.01003    -0.01667     0.00000     0.00000     0.00000     0.00000     0.00000    -0.08290
     4.68481    -0.03965    -0.02172    -0.01091    -0.01735     0.00000     0.00000     0.00000     0.00000     0.00000    -0.08963
     4.69081    -0.04339    -0.02288    -0.01152    -0.01774     0.00000     0.00000     0.00000     0.00000     0.00000    -0.09553
     4.69681    -0.04664    -0.02346    -0.01178    -0.01783     0.00000     0.00000     0.00000     0.00000     0.00000    -0.09971
     4.70281    -0.04903    -0.02318    -0.01168    -0.01771     0.00000     0.00000     0.00000     0.00000     0.00000    -0.10160
     4.70881    -0.05035    -0.02197    -0.01129    -0.01749     0.00000     0.00000     0.00000     0.00000     0.00000    -0.10110
     4.71481    -0.05058    -0.02002    -0.01074    -0.01719     0.00000     0.00000     0.00000     0.00000     0.00000    -0.09853
     4.72081    -0.04972    -0.01774    -0.01012    -0.01676     0.00000     0.00000     0.00000     0.00000     0.00000    -0.09434
     4.72681    -0.04785    -0.01562    -0.00947    -0.01619     0.00000     0.00000     0.00000     0.00000     0.00000    -0.08913
     4.73281    -0.04520    -0.01409    -0.00882    -0.01550     0.00000     0.00000     0.00000     0.00000     0.00000    -0.08361
     4.73881    -0.04223    -0.01340    -0.00821    -0.01484     0.00000     0.00000     0.00000     0.00000     0.00000    -0.07868
     4.74481    -0.03952    -0.01360    -0.00772    -0.01434     0.00000     0.00000     0.00000     0.00000     0.00000    -0.07518
     4.75081    -0.03757    -0.01453    -0.00739    -0.01408     0.00000     0.00000     0.00000     0.00000     0.00000    -0.07357
     4.75681    -0.03663    -0.01590    -0.00727    -0.01401     0.00000     0.00000     0.00000     0.00000     0.00000    -0.07381
     4.76281    -0.03665    -0.01737    -0.00738    -0.01405     0.00000     0.00000     0.00000     0.00000     0.00000    -0.07545
     4.76881    -0.03745    -0.01869    -0.00772    -0.01419     0.00000     0.00000     0.00000     0.00000     0.00000    -0.07805
     4.77481    -0.03889    -0.01975    -0.00828    -0.01445     0.00000     0.00000     0.00000     0.00000     0.00000    -0.08137
     4.78081    -0.04083    -0.02054    -0.00898    -0.01488     0.00000     0.00000     0.00000     0.00000     0.00000    -0.08523
     4.78681    -0.04311    -0.02109    -0.00970    -0.01547     0.00000     0.00000     0.00000     0.00000     0.00000    -0.08937
     4.79281    -0.04548    -0.02140    -0.01030    -0.01608     0.00000     0.00000     0.00000     0.00000     0.00000    -0.09326
     4.79881    -0.04770    -0.02142    -0.01065    -0.01655     0.00000     0.00000     0.00000     0.00000     0.00000    -0.09632
     4.80481    -0.04956    -0.02107    -0.01075    -0.01674     0.00000     0.00000     0.00000     0.00000     0.00000    -0.09812
     4.81081    -0.05094    -0.02026    -0.01064    -0.01660     0.00000     0.00000     0.00000     0.00000     0.00000    -0.09844
     4.81681    -0.05175    -0.01904    -0.01045    -0.01626     0.00000     0.00000     0.00000     0.00000     0.00000    -0.09750
     4.82281    -0.05193    -0.01755    -0.01026    -0.01592     0.00000     0.00000     0.00000     0.00000     0.00000    -0.09566
     4.82881    -0.05153    -0.01604    -0.01012    -0.01586     0.00000     0.00000     0.00000     0.00000     0.00000    -0.09355
     4.83481    -0.05076    -0.01481    -0.01006    -0.01627     0.00000     0.00000     0.00000     0.00000     0.00000    -0.09190
     4.84081    -0.05002    -0.01404    -0.01006    -0.01724     0.00000     0.00000     0.00000     0.00000     0.00000    -0.09136
     4.84681    -0.04984    -0.01384    -0.01010    -0.01871     0.00000     0.00000     0.00000     0.00000     0.00000    -0.09249
     4.85281    -0.05068    -0.01418    -0.01014    -0.02050     0.00000     0.00000     0.00000     0.00000     0.00000    -0.09550
