Field           = 1.000000E+06 V/cm
Carrier density = 1.831000E+18 cm^-3
dE              = 0.001750 eV

Energy (eV)  Prob. Density (eV^-1)  Prob. Density (cm^-3 eV^-1)
   0.000000               0.000000             0.0000000000E+00
   0.001750               0.057143             1.0462857143E+17
   0.003500               0.400000             7.3240000000E+17
   0.005250               1.142857             2.0925714286E+18
   0.007000               1.485714             2.7203428571E+18
   0.008750               1.200000             2.1972000000E+18
   0.010500               1.942857             3.5573714286E+18
   0.012250               1.942857             3.5573714286E+18
   0.014000               1.942857             3.5573714286E+18
   0.015750               2.000000             3.6620000000E+18
   0.017500               2.114286             3.8712571429E+18
   0.019250               2.400000             4.3944000000E+18
   0.021000               2.285714             4.1851428571E+18
   0.022750               1.657143             3.0342285714E+18
   0.024500               2.857143             5.2314285714E+18
   0.026250               2.228571             4.0805142857E+18
   0.028000               2.285714             4.1851428571E+18
   0.029750               2.171429             3.9758857143E+18
   0.031500               2.285714             4.1851428571E+18
   0.033250               3.257143             5.9638285714E+18
   0.035000               3.028571             5.5453142857E+18
   0.036750               3.200000             5.8592000000E+18
   0.038500               3.600000             6.5916000000E+18
   0.040250               3.885714             7.1147428571E+18
   0.042000               2.800000             5.1268000000E+18
   0.043750               2.971429             5.4406857143E+18
   0.045500               2.228571             4.0805142857E+18
   0.047250               2.914286             5.3360571429E+18
   0.049000               3.657143             6.6962285714E+18
   0.050750               3.257143             5.9638285714E+18
   0.052500               3.485714             6.3823428571E+18
   0.054250               2.971429             5.4406857143E+18
   0.056000               3.771429             6.9054857143E+18
   0.057750               2.971429             5.4406857143E+18
   0.059500               3.200000             5.8592000000E+18
   0.061250               3.771429             6.9054857143E+18
   0.063000               3.200000             5.8592000000E+18
   0.064750               3.257143             5.9638285714E+18
   0.066500               3.828571             7.0101142857E+18
   0.068250               2.857143             5.2314285714E+18
   0.070000               3.657143             6.6962285714E+18
   0.071750               2.914286             5.3360571429E+18
   0.073500               3.542857             6.4869714286E+18
   0.075250               3.885714             7.1147428571E+18
   0.077000               4.342857             7.9517714286E+18
   0.078750               2.628571             4.8129142857E+18
   0.080500               4.000000             7.3240000000E+18
   0.082250               3.257143             5.9638285714E+18
   0.084000               3.885714             7.1147428571E+18
   0.085750               3.257143             5.9638285714E+18
   0.087500               3.828571             7.0101142857E+18
   0.089250               3.714286             6.8008571429E+18
   0.091000               4.628571             8.4749142857E+18
   0.092750               3.200000             5.8592000000E+18
   0.094500               2.971429             5.4406857143E+18
   0.096250               3.485714             6.3823428571E+18
   0.098000               2.914286             5.3360571429E+18
   0.099750               2.514286             4.6036571429E+18
   0.101500               2.971429             5.4406857143E+18
   0.103250               3.428571             6.2777142857E+18
   0.105000               3.257143             5.9638285714E+18
   0.106750               3.142857             5.7545714286E+18
   0.108500               2.971429             5.4406857143E+18
   0.110250               2.628571             4.8129142857E+18
   0.112000               2.514286             4.6036571429E+18
   0.113750               3.200000             5.8592000000E+18
   0.115500               3.200000             5.8592000000E+18
   0.117250               3.542857             6.4869714286E+18
   0.119000               2.171429             3.9758857143E+18
   0.120750               3.142857             5.7545714286E+18
   0.122500               3.085714             5.6499428571E+18
   0.124250               2.171429             3.9758857143E+18
   0.126000               2.571429             4.7082857143E+18
   0.127750               2.000000             3.6620000000E+18
   0.129500               2.571429             4.7082857143E+18
   0.131250               2.742857             5.0221714286E+18
   0.133000               2.857143             5.2314285714E+18
   0.134750               2.342857             4.2897714286E+18
   0.136500               2.914286             5.3360571429E+18
   0.138250               2.342857             4.2897714286E+18
   0.140000               2.171429             3.9758857143E+18
   0.141750               2.400000             4.3944000000E+18
   0.143500               2.057143             3.7666285714E+18
   0.145250               1.714286             3.1388571429E+18
