     #Energy           s          py          pz          px         dxy         dyz         dz2         dxz         dx2       tot  
   -18.13022     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -18.03522     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.94022     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.84422     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.74922     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.65422     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.55922     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.46322     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.36822     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.27322     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.17722     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -17.08222     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.98722     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.89122     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.79622     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.70122     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.60622     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.51022     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.41522     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.32022     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.22422     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -16.12922     0.00002     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00002
   -16.03422     0.02137     0.00011     0.00013     0.00012     0.00027     0.00011     0.00036     0.00012     0.00024     0.02281
   -15.93822     0.04742     0.00027     0.00051     0.00080     0.00205     0.00030     0.00170     0.00088     0.00068     0.05462
   -15.84322     0.03272     0.00095     0.00055     0.00095     0.00270     0.00115     0.00196     0.00115     0.00274     0.04486
   -15.74822     0.06331     0.00248     0.00135     0.00197     0.00664     0.00345     0.00562     0.00276     0.00773     0.09532
   -15.65322     0.05428     0.00242     0.00179     0.00168     0.00589     0.00362     0.00921     0.00258     0.00866     0.09013
   -15.55722     0.04283     0.00175     0.00248     0.00309     0.01202     0.00318     0.01299     0.00553     0.00747     0.09134
   -15.46222     0.10800     0.00769     0.00954     0.00439     0.01999     0.01586     0.06096     0.00897     0.03464     0.27005
   -15.36722     0.11160     0.01306     0.01001     0.00937     0.05129     0.03068     0.07461     0.02232     0.06836     0.39130
   -15.27122     0.09324     0.00799     0.01112     0.01342     0.07825     0.02221     0.09926     0.03698     0.05190     0.41437
   -15.17622     0.14020     0.03914     0.02458     0.02584     0.18980     0.12570     0.29480     0.08610     0.28910     1.21526
   -15.08122     0.13300     0.04486     0.06494     0.05290     0.42440     0.17370     0.79390     0.20820     0.36330     2.25920
   -14.98522     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -14.89022     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -14.79522     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -14.70022     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -14.60422     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -14.50922     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -14.41422     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -14.31822     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -14.22322     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -14.12822     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -14.03222     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -13.93722     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -13.84222     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -13.74722     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -13.65122     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -13.55622     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -13.46122     0.00672     0.00127     0.00131     0.00113     1.54900     1.39600     2.10000     1.32200     1.59100     7.96843
   -13.36522     0.02234     0.00379     0.00358     0.00430     4.02400     2.58300     3.81800     2.64300     3.80600    16.90801
   -13.27022     0.03724     0.00436     0.00673     0.00419     5.04100     7.05200     4.64900     6.89400     4.53100    28.21952
   -13.17522     0.00941     0.00106     0.00304     0.00109     5.09900     6.69200     2.01000     6.37900     4.61900    24.81360
   -13.08022     0.01491     0.00055     0.00103     0.00029     0.05831     0.22630     0.14750     0.15270     0.10450     0.70609
   -12.98422     0.02802     0.00084     0.00106     0.00223     0.17460     0.07028     0.10550     0.13560     0.13920     0.65733
   -12.88922     0.02279     0.00095     0.00180     0.00114     0.07016     0.04532     0.12540     0.04742     0.05935     0.37433
   -12.79422     0.03497     0.00255     0.00252     0.00225     0.10120     0.06085     0.14530     0.06512     0.11810     0.53287
   -12.69822     0.02100     0.00157     0.00177     0.00199     0.06389     0.02764     0.07007     0.03692     0.06800     0.29285
   -12.60322     0.04474     0.00373     0.00457     0.00423     0.12640     0.05458     0.16350     0.06621     0.11240     0.58036
   -12.50822     0.02258     0.00276     0.00310     0.00252     0.06250     0.03516     0.08965     0.03129     0.06791     0.31747
   -12.41222     0.04533     0.00696     0.00520     0.00396     0.09799     0.06683     0.13830     0.03997     0.13790     0.54244
   -12.31722     0.05583     0.01005     0.00941     0.00585     0.11190     0.08348     0.21810     0.04999     0.17200     0.71661
   -12.22222     0.04448     0.00569     0.00800     0.00737     0.11520     0.04821     0.17040     0.05300     0.09568     0.54803
   -12.12722     0.03148     0.00577     0.00455     0.00602     0.08530     0.03742     0.10750     0.03347     0.08979     0.40130
   -12.03122     0.04502     0.00867     0.01056     0.01046     0.12400     0.04668     0.16900     0.06045     0.12360     0.59844
   -11.93622     0.05709     0.01517     0.01434     0.01619     0.17980     0.07587     0.22600     0.08342     0.18250     0.85038
   -11.84122     0.04161     0.01107     0.01315     0.01362     0.14680     0.05372     0.18830     0.06425     0.12890     0.66142
   -11.74522     0.03163     0.01637     0.01155     0.01408     0.13450     0.06785     0.12950     0.05824     0.15870     0.62242
   -11.65022     0.02674     0.01381     0.01633     0.01035     0.08882     0.05994     0.19790     0.04692     0.11260     0.57341
   -11.55522     0.02587     0.01572     0.02095     0.01709     0.12490     0.06246     0.22560     0.06571     0.11710     0.67540
   -11.45922     0.02210     0.02113     0.02075     0.03079     0.19610     0.07113     0.22270     0.10360     0.15420     0.84250
   -11.36422     0.01595     0.03686     0.02983     0.04250     0.22250     0.11270     0.34850     0.12880     0.20010     1.13774
   -11.26922     0.00409     0.01801     0.01562     0.01892     0.10250     0.05590     0.17600     0.05765     0.09953     0.54822
   -11.17422     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -11.07822     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -10.98322     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -10.88822     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -10.79222     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -10.69722     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -10.60222     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -10.50622     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -10.41122     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -10.31622     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -10.22122     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -10.12522     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
   -10.03022     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -9.93522     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -9.83922     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -9.74422     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -9.64922     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -9.55322     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -9.45822     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -9.36322     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -9.26822     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -9.17222     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -9.07722     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -8.98222     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -8.88622     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -8.79122     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -8.69622     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -8.60022     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -8.50522     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -8.41022     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -8.31522     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -8.21922     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -8.12422     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
    -8.02922     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000     0.00000
